Name,Open Source,URL,Former name,OS license,Architecture,Recommended for,Typical scenarios,Impact on customer's IT,Development approach,Storefront approach,Project Hosting,Hosting description,Code-access,Extendibility concept,Security certificates,Privacy center,Dev docs,Gartner Magic Q 23,Success Stories,More information,Repository,Stars,Repository Created,Summary of License,Code,Ready,Mobile App approach,Basic B2C Features,Search & Filtering,Gift Cards,CMS,OMS,PIM,Call Center,Multi-Warehouse,Location-Based Inventory,Multi-Store,Multi-Locale,Multi-Currency,Volume Prices,Configurable Products,Quotation & Offer Management,Packaging Units,Measurement Units,Approval Workflows,Shopping Lists,Business Units & Organizations,Roles & Permissions,Products-per-Customer,Price-per-Customer,Merchant Portal,Multi-Merchant,B2C Features,B2B Features,Marketplace Features
Adobe Commerce,Commercial,https://business.adobe.com/products/magento/magento-commerce.html,Magento,,"Hybrid platform, combining an open-code system with micro-SaaS solutions.",Shops running on an older version of Magento 2 needing an upgrade or those heavily utilizing Adobe's Experience Cloud Solutions.,"B2B,B2C,Marketplace","Depending on the selected setup, developers may not be required.","The shop is primarily built by configuring various Adobe products, including App Builder, domain services (e.g., search and payment), Adobe Experience Manager, and Experience Platform. ","New projects can start with a boilerplate template (demo, code) that  that utilizes the system’s GraphQL API.",Managed Hosting,"Shops are individually hosted on Adobe Commerce Cloud, which runs on AWS or Azure.",Partial Access,"Developers can extend the PHP code of the underlying Magento 2 instance, but not the embedded SaaS solutions, although this is often unnecessary.","GDPR,HIPAA,ISO 27001,SOC-2,SOC-3",https://www.adobe.com/trust/compliance/compliance-list.html,https://experienceleague.adobe.com/en/docs/commerce,Leader,Medi,,,,,,,true,,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,13,10,0
Commercetools,Commercial,https://commercetools.com/,,,Headless SaaS platform,Enterprise shops with advanced but standard e-commerce needs. Commercetools is also especially suited for healthcare projects because of their HIPAA compliance.,"B2B,B2C","You'll need engineers to maintain your storefront and integration services. If using their templates, ensure your team has JavaScript  experience (Next.js and Node).",You'll need to implement both your storefront and integration services using either your preferred technologies or the provided templates.,"Projects may start building from scratch or use their commercetools Frontend solution, which is an entire suite of tools, that consists of 

* a Next.js based storefront, including a set of React components, pre-integrated with Commercetools. There are templates for B2C and B2B scenarios.
* a hosting environment that is based on a Node.js environment (Extension runner) and a frontend delivery system (Frontend delivery) based on Netlify and GCP
* a visual site builder for non-technical users called Studio:

https://docs.commercetools.com/frontend-studio/static/7d011c7bfc67b7ec4dd6c012e19488a5/a4f81/site-builder-area.png",SaaS,Commercetools is a multi-tenant SaaS fully managed by the vendor. Custom storefronts and integration services can be deployed via their Connect offering or any other hosting provider.,No Access,Closed-source SaaS-solution,"GDPR,HIPAA,ISO 27001,SOC-2",https://commercetools.com/technology/trust-center,https://docs.commercetools.com/,Leader,"APG & Co,Audi,Bang & Olufsen,Bikes.de,BMW,Cargo Crew,Danone,Express,Just Eat Takeaway,Loomstate,Nieuwkoop Europe,Normet,Treedom,Vision Healthcare",,,,,,,true,,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true,false,false,false,false,10,6,0
Crystallize,Commercial,https://crystallize.com/,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0
Elasticpath,Commercial,https://www.elasticpath.com/,,,,,,,,,,,,,,,,Visionary,,,,,,,,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,false
Emporix,Commercial,https://www.emporix.com/,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,false
HCL Commerce,Commercial,https://www.hcl-software.com/commerce,IBM WebSphere Commerce,,Monolithic Java-based application,"Large enterprises seeking a mature, Java-based system with full code access.","B2C,B2B,Marketplace",You’ll need a team of senior-level Java engineers to manage the HCL Commerce backend and frontend engineers to develop the storefront.,"Projects typically start with either the B2C or B2B template, then extend the source code as needed.","You can choose from several approaches to build your storefront:

1. The traditional MVC approach using JSPs, Struts, and Spring MVC, with a starter store called Aurora based on jQuery.

2. A modern approach using Next.js (Ruby).

3. A React-based approach with Emerald for B2C and Sapphire for B2B.

Alternatively, you can also build your custom storefront using the system’s GraphQL API.","Managed Hosting,On-Premise","Customers can operate their shop on-premise using provided Docker and Kubernetes artifacts or opt for the managed hosting service, HCL Now, which supports any cloud provider (e.g., AWS, GCP, or Azure). You can read more about HCL Now in their blog post.",Full Access,"Custom logic is developed directly in the system's source code. HCL Commerce provides a complete development suite based on J2EE, Spring, ElasticSearch (or Solr), and IBM DB2 (or Oracle DB).","ISO 27001,HIPAA,GDPR,SOC-2",https://www.hcl-software.com/legal/compliance/,https://help.hcl-software.com/commerce/index.html,Challenger,"Iperceramica,Costco,Augusta Sportswear,Dportenis,C&A,Elektronabava,Idroexpert,Zara","History

HCL Commerce, formerly known as IBM WebSphere Commerce, is an e-commerce platform that was originally developed by IBM in the 1990s. In 2019, HCL Technologies acquired the platform from IBM as part of a broader software acquisition. 

The initial version, called NetCommerce, was developed to sell event tickets and merchandise for the 1996 Olympic Games (source).

Videos

These two videos by Francis Booth are a good starting point to learn about HCL Commerce:

https://www.youtube.com/watch?v=fihlfrQgXbA

https://www.youtube.com/watch?v=zX7l2sdVO8E",,,,,,true,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0
Kibo Commerce,Commercial,https://kibocommerce.com/,,,,,,,,,,,,,,,,Challenger,,,,,,,,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0
Lunar,Open Source,https://lunarphp.io/,,MIT,Headless Backend,Startups or small retailers seeking a basic solution based on Laravel.,B2C,You’ll need a team of engineers that a familiar with Laravel and PHP.,"Lunar is installed as a Composer package within any Laravel application. Starting with the Starter Kit, the code is then extended as needed.",New projects can be launched with their Livewire Starter Kit. Livewire enables developers to implement interactive user interfaces using only PHP.,On-Premise,"Shops based on Lunar can be self-hosted; typically using one of the official Laravel offerings, like Laravel Cloud, Vapor or Forge.",Full Access,"Lunar provides internal extension points that allow the injection of custom classes. For example, there is a configurable array of classes (“pipeline”) for cart calculation. Additionally, all models (Eloquent ORM) can be replaced.",,,https://docs.lunarphp.io,,"Seaworx Fishing,CardPro,Orbital Fasteners","Discord Community

Lunar has an active community on Discord here:

 https://discord.gg/v6qVWaf",lunarphp/lunar,"2,618",12/21/2021 5:14:38 PM,It seems like your request is incomplete. Could you please provide the content you would like me to summarize?,PHP,true,"Since there is no mobile-specific template, you'll need to create one yourself.",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0
Magento 2,Open Source,https://business.adobe.com/products/magento/magento-commerce.html,,OSL-3.0,All-inclusive System,,,,,,,,,,,,,,,,magento/magento2,"11,498",11/30/2011 4:30:13 PM,,PHP,true,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0
MedusaJS,Open Source,https://medusajs.com/,,MIT,Headless Backend,"Startups seeking a powerful, modern solution that can be self-hosted and don't require the support of an established vendor or additional security certifications.","B2C,B2B,Marketplace",You'll need an in-house IT team to manage and maintain your entire webshop.,"Since Medusa is open-source, you can clone the starter template and begin development with your team. Premium support is also available if needed.","Medusa is a headless system, meaning you'll need to build your own storefront. However, it includes an optional template built with Next.js to help you get started. (demo).",On-Premise,"You can deploy Medusa to any provider, with deployment recipes available for platforms like Heroku and DigitalOcean. The Medusa team is also working on ""Medusa Cloud,"" a hosting solution currently in beta.",Full Access,Developers have complete access to the entire Medusa codebase.,,,https://docs.medusajs.com/,,"Viessmann Climate Solutions,EKI,Mitsubishi,Patyna,Matt Sleeps,Foraged,Good Chef","Versions

Currently, Medusa is available in version 1, with version 2 actively being developed.

→ https://medusajs.com/blog/toward-medusa-2/

Technologies & Architecture

Medusa 2.0 is a Node.js-based headless commerce platform with a modular architecture. It uses technologies like TypeORM, PostgreSQL, and follows concepts such as REST and event-driven architecture.

→ https://docs.medusajs.com/development/fundamentals/architecture-overview

Recipes

Medusa can be applied to various use cases, such as B2C, marketplaces, OMS, and POS. To simplify the setup, they offer ready-made recipes that automate the foundational configuration.

→ https://docs.medusajs.com/recipes/",medusajs/medusa,"24,878",1/18/2020 2:39:04 PM,,Node.js,true,,true,false,true,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,6,0,0
